ki , kp , kd 
0.000200 , 4.000000 , 25.000000 
Raspberry Pi HC-SR04 UltraSonic sensor
0, 1993262192
1, 1984873584
2, 1976484976
Raspberry Pi HC-SR04 UltraSonic sensor
Raspberry Pi HC-SR04 UltraSonic sensor
duty cycle:0.0% 1/255
duty cycle:0.0% 1/255
pivot: 6.7 
-13.943998,-0.063445,0.000000
-13.943998,-0.064142,0.000000
-13.943998,-0.064840,0.000000
-13.943998,-0.065537,0.000000
-13.943998,-0.066234,0.000000
-13.943998,-0.066931,0.000000
-13.943998,-0.067628,0.000000
-13.943998,-0.068326,0.000000
-13.943998,-0.069023,0.000000
-13.943998,-0.069720,0.000000
-13.943998,-0.070417,0.000000
-13.943998,-0.071114,0.000000
-13.943998,-0.071812,0.000000
-13.943998,-0.072509,0.000000
-13.943998,-0.073206,0.000000
-13.943998,-0.073903,0.000000
-13.943998,-0.074600,0.000000
-13.943998,-0.075298,0.000000
-13.943998,-0.075995,0.000000
-13.943998,-0.076692,0.000000
-13.943998,-0.077389,0.000000
-13.943998,-0.078086,0.000000
-13.943998,-0.078784,0.000000
-13.943998,-0.079481,0.000000
-13.943998,-0.080178,0.000000
-13.943998,-0.080875,0.000000
-13.943998,-0.081572,0.000000
-13.943998,-0.082270,0.000000
-13.943998,-0.082967,0.000000
-13.943998,-0.083664,0.000000
-13.943998,-0.084361,0.000000
-13.943998,-0.085058,0.000000
-13.943998,-0.085756,0.000000
-13.943998,-0.086453,0.000000
-13.943998,-0.087150,0.000000
-13.943998,-0.087847,0.000000
-13.943998,-0.088544,0.000000
-13.943998,-0.089242,0.000000
-13.943998,-0.089939,0.000000
-13.943998,-0.090636,0.000000
-13.943998,-0.091333,0.000000
-13.943998,-0.092030,0.000000
-13.943998,-0.092728,0.000000
-13.943998,-0.093425,0.000000
-13.943998,-0.094122,0.000000
-13.943998,-0.094819,0.000000
-13.943998,-0.095516,0.000000
-13.943998,-0.096214,0.000000
-13.943998,-0.096911,0.000000
-13.943998,-0.097608,0.000000
-13.943998,-0.098305,0.000000
-13.943998,-0.099003,0.000000
-13.943998,-0.099700,0.000000
-13.943998,-0.100397,0.000000
-13.943998,-0.101094,0.000000
-13.943998,-0.101791,0.000000
-13.943998,-0.102489,0.000000
-13.943998,-0.103186,0.000000
-13.943998,-0.103883,0.000000
-13.943998,-0.104580,0.000000
-13.943998,-0.105277,0.000000
-13.943998,-0.105975,0.000000
-13.943998,-0.106672,0.000000
-13.943998,-0.107369,0.000000
-13.943998,-0.108066,0.000000
-14.351999,-0.108784,-2.550006
-14.351999,-0.109501,0.000000
-14.351999,-0.110219,0.000000
-14.351999,-0.110937,0.000000
-14.351999,-0.111654,0.000000
-14.351999,-0.112372,0.000000
-14.351999,-0.113089,0.000000
-14.351999,-0.113807,0.000000
-14.351999,-0.114525,0.000000
-14.351999,-0.115242,0.000000
-14.351999,-0.115960,0.000000
-14.351999,-0.116677,0.000000
-14.351999,-0.117395,0.000000
-14.351999,-0.118113,0.000000
-14.351999,-0.118830,0.000000
-14.351999,-0.119548,0.000000
-14.351999,-0.120265,0.000000
-14.351999,-0.120983,0.000000
-14.351999,-0.121701,0.000000
-14.351999,-0.122418,0.000000
-14.351999,-0.123136,0.000000
-14.351999,-0.123853,0.000000
-14.351999,-0.124571,0.000000
-14.351999,-0.125289,0.000000
-14.351999,-0.126006,0.000000
-14.351999,-0.126724,0.000000
-14.351999,-0.127441,0.000000
-14.351999,-0.128159,0.000000
-14.351999,-0.128877,0.000000
-14.351999,-0.129594,0.000000
-14.351999,-0.130312,0.000000
-14.351999,-0.131029,0.000000
-14.351999,-0.131747,0.000000
-14.351999,-0.132465,0.000000
-14.351999,-0.133182,0.000000
-14.351999,-0.133900,0.000000
-14.351999,-0.134617,0.000000
-14.351999,-0.135335,0.000000
-14.351999,-0.136053,0.000000
-14.351999,-0.136770,0.000000
-14.351999,-0.137488,0.000000
-14.351999,-0.138205,0.000000
-14.351999,-0.138923,0.000000
-14.351999,-0.139641,0.000000
-14.351999,-0.140358,0.000000
-14.351999,-0.141076,0.000000
-14.351999,-0.141793,0.000000
-14.351999,-0.142511,0.000000
-14.351999,-0.143228,0.000000
-14.351999,-0.143946,0.000000
-14.351999,-0.144664,0.000000
-14.351999,-0.145381,0.000000
-14.351999,-0.146099,0.000000
-14.351999,-0.146816,0.000000
-14.351999,-0.147534,0.000000
-14.351999,-0.148252,0.000000
-14.351999,-0.148969,0.000000
-14.351999,-0.149687,0.000000
-14.351999,-0.150404,0.000000
-14.351999,-0.151122,0.000000
-14.351999,-0.151840,0.000000
-14.351999,-0.152557,0.000000
-14.351999,-0.153275,0.000000
-14.351999,-0.153992,0.000000
-14.351999,-0.154710,0.000000
-14.351999,-0.155428,0.000000
-14.351999,-0.156145,0.000000
-14.351999,-0.156863,0.000000
-14.351999,-0.157580,0.000000
-14.351999,-0.158298,0.000000
-14.351999,-0.159016,0.000000
-14.351999,-0.159733,0.000000
-14.351999,-0.160451,0.000000
-14.351999,-0.161168,0.000000
-14.351999,-0.161886,0.000000
-14.351999,-0.162604,0.000000
-14.351999,-0.163321,0.000000
-14.351999,-0.164039,0.000000
-14.351999,-0.164756,0.000000
-14.351999,-0.165474,0.000000
-14.351999,-0.166192,0.000000
-14.351999,-0.166909,0.000000
-14.351999,-0.167627,0.000000
-14.351999,-0.168344,0.000000
-14.351999,-0.169062,0.000000
-15.167999,-0.169820,-5.100000
-15.167999,-0.170579,0.000000
-15.167999,-0.171337,0.000000
-15.167999,-0.172095,0.000000
-15.167999,-0.172854,0.000000
-15.167999,-0.173612,0.000000
-15.167999,-0.174371,0.000000
-15.167999,-0.175129,0.000000
-15.167999,-0.175887,0.000000
-15.167999,-0.176646,0.000000
-15.167999,-0.177404,0.000000
-15.167999,-0.178163,0.000000
-15.167999,-0.178921,0.000000
-15.167999,-0.179679,0.000000
-15.167999,-0.180438,0.000000
-15.167999,-0.181196,0.000000
-15.167999,-0.181955,0.000000
-15.167999,-0.182713,0.000000
-15.167999,-0.183471,0.000000
-15.167999,-0.184230,0.000000
-15.167999,-0.184988,0.000000
-15.167999,-0.185747,0.000000
-15.167999,-0.186505,0.000000
